chapter,section,topic,refOne,refTwo,refThree,content,highlight,bookmark,Unnamed: 9,Unnamed: 10
2,C,3.0,,,,"02.C.03 Only approved potable water systems may be used for the distribution of drinking water. Construction trailers and other temporary or semi-permanent facilities shall be properly connected to the local municipal water supply unless the remoteness of the location makes this prohibitive. When unable to connect to the municipal supply, temporary potable water systems shall be utilized and the services provided by a licensed potable water contractor. “Reclaimed water” (treated wastewater) use in potable systems is strictly prohibited.",True,False,,
2,C,4.0,,,,02.C.04 Drinking water shall be dispensed by means that prevent contamination between the consumer and the source.,True,False,,
2,C,5.0,,,,"02.C.05 Portable drinking water dispensers shall be designed, constructed, and serviced to ensure sanitary conditions, shall be capable of being closed and shall have a tap. Any container used to distribute drinking water shall be clearly marked “DRINKING WATER” and may not be used for other purposes.",True,False,,
2,C,6.0,,,,"02.C.06 Open containers (i.e., barrels, pails, or tanks) or any container (with or without a fitted cover) from which the water is dipped or poured are prohibited for drinking water. Lid shall remain on a container except when being sanitized, washed or filled.",True,False,,
2,C,7.0,,,,02.C.07 Fountain dispensers shall have a guarded orifice.,True,False,,
2,C,8.0,,,,02.C.08 Use of a common cup (a cup shared by more than one worker) and other common utensils is prohibited. Employees shall use cups when drinking from portable water coolers/containers. Unused disposable cups shall be kept in sanitary containers and a waste receptacle shall be provided for used cups.,True,False,,
2,C,9.0,,,,02.C.09 Potable drinking water dispensers shall only contain drinking water and shall not be used to store or cool drinks or food or other items.,True,False,,
2,C,10.0,,,,"02.C.10 All potable wells intended for drinking water or human contact shall include appropriate wellhead protection to ensure sanitary quality. Wellhead protection shall include methods or accessories to prevent fecal contamination, insect infestation, and deliberate human actions that might jeopardize the quantity and quality of the water supply.",True,False,,
2,D,,,,,02.D Non-Potable Water.,True,False,,
2,D,1.0,,,,"02.D.01 Outlets dispensing non-potable water shall be conspicuously posted ""CAUTION WATER UNSAFE FOR DRINKING, WASHING, OR COOKING"". Outlets dispensing non-potable water at Corps Dumping Stations within campgrounds may, in lieu of this requirement, be posted in accordance with USACE’s Engineering Pamphlet (EP) 310-1-6A and EP 310-1-6B.",True,False,,
2,D,2.0,,,,"02.D.02 There shall not be any cross-connection, open or potential, between a system furnishing potable water and a system furnishing non-potable water.",True,False,,
2,D,3.0,,,,"02.D.03 Non-potable water may be used for cleaning work areas, except food processing and preparation areas and personal service rooms, provided this non- potable water does not contain concentrations of chemicals, fecal coliform or other substances which could create unsanitary conditions or be harmful to employees.",True,False,,
2,E,,,,,02.E Toilets.,True,False,,
2,E,1.0,,,,02.E.01 General. Toilets shall be present in all places of employment and shall contain the following: Exception: The requirements below do not apply to mobile crews or to normally unattended work locations if employees working at these locations have transportation readily available to nearby toilet and/or washing facilities which meet the other requirements of this paragraph.,True,False,,
2,E,1.0,a,,,"a. Separate toilet facilities, in toilet rooms provided for each sex shall be provided in all places of employment according to Table 2-1. Separate toilet rooms for each sex need not be provided if toilet rooms can only be occupied by one person at a time, can be locked from the inside and contain at least one toilet seat (where such single- occupancy rooms have more than one commode, only one commode in each toilet room may be counted);",False,False,,
2,E,1.0,b,,,"b. Hot and cold running water, or tepid running water [tepid water is 60o F - 100o F (15.5o C - 37.8o C)];",False,False,,
2,E,1.0,c,,,c. Hand soap or similar cleansing agents shall be provided;,False,False,,
2,E,1.0,d,,,"d. Individual disposable paper towels or warm air blowers designed for hand-drying, convenient to the lavatories;",False,False,,
2,E,1.0,e,,,e. An adequate supply of toilet paper and a holder for each seat;,False,False,,
2,E,1.0,f,,,f. Contained within an individual compartment and equipped with a door and separated from other toilet fixtures by walls or partitions sufficiently high to ensure privacy;,False,False,,
2,E,1.0,g,,,g. Adequate interior lighting;,False,False,,
2,E,1.0,h,,,h. Washing and toilet facilities shall be cleaned regularly and maintained in good order;,False,False,,
2,E,1.0,i,,,"i. Each commode shall be equipped with a toilet seat and toilet seat cover. Each toilet facility - except those specifically designed and designated for females  shall be equipped with a metal, plastic or porcelain urinal trough; and",False,False,,
2,E,1.0,j,,,j. Adequate ventilation. All windows and vents shall be screened; seat boxes shall be vented to the outside [minimum vent size 4 in (10.1 cm)] with vent intake located 1 in (2.5 cm) below the seat.,False,False,,
2,E,2.0,,,,02.E.02 Construction Sites. Toilet facilities on construction sites shall be provided as follows (the requirements of this subsection do not apply to mobile crews or to normally unattended work locations if employees working at these locations have transportation immediately available to nearby toilet facilities):,True,False,,
2,E,2.0,a,,,"a. Where sanitary sewers are not available, job sites shall be provided with chemical toilets, re-circulating toilets, or combustion toilets unless prohibited by state/local codes;",False,False,,
2,E,2.0,b,,,"b. Each toilet facility shall be equipped with a toilet seat and toilet seat cover. Each toilet facility - except those specifically designed and designated for females - shall be equipped with a metal, plastic, or porcelain urinal trough. All shall be provided with an adequate supply of toilet paper and a holder for each seat; Note: Where toilet facilities will not be used by women, urinals may be provided instead of commodes, except that the number of commodes in such cases shall not be reduced to fewer than 2/3 of the minimum number specified. One additional toilet fixture for each additional 40 employees.",False,False,,
2,E,2.0,c,,,"c. Toilets shall be provided for each sex according to Table 2-2. Separate toilet rooms for each sex need not be provided if toilet rooms can only be occupied by one person at a time, can be locked from the inside and contain at least one toilet seat;",False,False,,
2,E,2.0,d,,,"d. Where it is not practical to provide running water, hand sanitizers may be used as a substitute for running water. Hand sanitizers must contain at least 60% ethyl alcohol as its active ingredient and workers shall be trained to properly use the sanitizer.",False,False,,
2,E,2.0,e,,,"e. Toilet facilities shall be constructed so that the occupants are protected against weather and falling objects; all cracks shall be sealed; the door shall be tight-fitting, selfclosing, and capable of being latched from the inside;",False,False,,
2,E,2.0,f,,,f. Adequate ventilation shall be provided; all windows and vents shall be screened; seat boxes shall be vented to the outside [minimum vent size 4 in (10.1 cm)] with vent intake located 1 in (2.5 cm) below the seat;,False,False,,
2,E,2.0,g,,,g. Toilet facilities shall be constructed so that the interior is lighted; and,False,False,,
2,E,2.0,h,,,"h. Provisions for routinely servicing and cleaning all toilets and disposing of the sewage shall be established before placing toilet facilities into operation. The method of sewage disposal and the placement location selected shall be in accordance with Federal, state, and local health regulations. Note: Where toilet facilities will not be used by women, urinals may be provided instead of commodes, except that the number of commodes in such cases shall not be reduced to fewer than 2/3 of the minimum number specified.",False,False,,
2,E,3.0,,,,"02.E.03 Employees working in temporary field conditions, in mobile crews or in normally unattended work locations shall be provided at least one toilet facility unless transportation to nearby toilet facilities is readily available.",True,False,,
2,F,,,,,02.F Washing Facilities.,True,False,,
2,F,1.0,,,,02.F.01 Washing facilities shall be provided at toilet facilities and as needed to maintain healthful and sanitary conditions.,True,False,,
2,F,2.0,,,,"02.F.02 Each washing facility shall be maintained in a sanitary condition and provided with water from an approved potable water supply. Water shall be either hot and cold or tepid running water. Soap and either individual disposable paper towels or warm air blowers designed for hand-drying shall be provided. If impractical to provide running water, hand sanitizer and individual disposable paper towels may be used.",True,False,,
2,F,3.0,,,,02.F.03 Washing facilities shall be in close proximity to the worksite.,True,False,,
2,G,,,,,02.G Showers.,True,False,,
2,G,1.0,,,,"02.G.01 Washing facilities for persons engaged in application of paints, coatings, herbicides, insecticides, or other operations where contaminants may be harmful shall be at or near the work site and shall be equipped to enable employees to remove such substances.",True,False,,
2,G,2.0,,,,"02.G.02 Whenever showers are required by a particular standard, the showers shall be provided in accordance with the following:",True,False,,
2,G,2.0,a,,,"a. One shower shall be provided for every ten employees (or fraction thereof) of each sex, who are required to shower during the same shift;",False,False,,
2,G,2.0,b,,,b. Body soap or other appropriate cleansing agents for the showers shall be provided;,False,False,,
2,G,2.0,c,,,c. Showers shall be equipped with hot and cold water from an approved potable water supply feeding a common discharge line; and,False,False,,
2,G,2.0,d,,,d. Employees who use showers shall be provided with individual clean towels.,False,False,,
2,H,,,,,"02.H Changing Rooms. Whenever employees are required by a particular standard to wear protective clothing, changing rooms shall be equipped with separate storage facilities for both street clothes and protective clothing.",True,False,,
2,I,,,,,"02.I Laundry of Work Clothing. If non-disposable work clothing provided by the employer becomes contaminated, provisions shall be made to ensure clothing is laundered and decontaminated by the employee prior to reuse. Employees shall not wear contaminated clothing when leaving the worksite. If contaminated work clothing is taken to a commercial laundry, the laundry representative must be advised of the potential contaminants on the clothing.",True,False,,
2,J,,,,,02.J Food Service.,True,False,,
2,J,1.0,,,,"02.J.01 All USACE food service facilities and facilities operated under USACE contracts, including galleys aboard vessels, shall be compliant with the US Public Health Service (USPHS) Food and Drug Administration (FDA) Food Code.",True,False,,
2,J,2.0,,,,02.J.02 All employee food service facilities and operations shall be conducted in accordance with sound hygienic principles.,True,False,,
2,J,3.0,,,,"02.J.03 In places of employment where all or part of the food service is provided, the food dispensed shall be wholesome, free from spoilage, and shall be processed, prepared, handled, and stored in such a manner as to be protected against contamination.",True,False,,
2,J,4.0,,,,02.J.04 No employee may be allowed to consume food or beverages in a toilet room or in any area exposed to a toxic material.,True,False,,
2,J,5.0,,,,02.J.05 No food or beverages may be stored in toilet rooms or in an area exposed to a toxic material.,True,False,,
2,J,6.0,,,,"02.J.06 Food handlers are not required to have a general medical exam, but must obtain a statement from a licensed physician, physician's assistant, or nurse practitioner attesting that they are free of communicable diseases. Food handlers shall complete at least 8 hours of food service sanitation training annually.",True,False,,
2,J,7.0,,,,"02.J.07 All USACE food service facilities and facilities operated under USACE contracts, including galleys aboard vessels, shall be inspected for compliance with the USPHS FDA Food Code at least semi-annually.",True,False,,
2,K,,,,,02.K Waste Disposal.,True,False,,
2,K,1.0,,,,"02.K.01 An adequate number of waste receptacles shall be provided in a food service area and used for the disposal of waste food. Receptacles shall be constructed of smooth, corrosion-resistant, easily cleanable, or disposable materials, provided with solid tight-fitting covers, emptied at least daily and maintained in a sanitary condition.",True,False,,
2,K,2.0,,,,"02.K.02 Receptacles used for putrescible solid or liquid waste or refuse shall be constructed in order to prevent leakage and to allow thorough cleaning and sanitary maintenance. Such receptacles shall be equipped with solid tight-fitting covers, unless they can be maintained in sanitary conditions without covers.",True,False,,
2,K,3.0,,,,"02.K.03 All sweepings, solid or liquid wastes, refuse, and garbage shall be removed in a manner which avoids creating a menace to health and should be discarded as often as necessary or appropriate to maintain sanitary conditions in the place of employment.",True,False,,
2,L,,,,,02.L Vermin Control.,True,False,,
2,L,1.0,,,,"02.L.01 Every enclosed workplace shall be constructed, equipped, and maintained, as practicable as possible, in order to prevent the entrance or harborage of rodents, insects, or other vermin.",True,False,,
2,L,2.0,,,,02.L.02 A continuing and effective extermination program shall be instituted when the presence of vermin is detected. The use of licensed exterminators/pest control personnel is required.,True,False,,
